feature,shap_importance
_id_60c5d6bf5659ea5e55defeb5,5.1591772820341624e-18
_id_60c5d6bf5659ea5e55defea9,5.130761069668372e-18
_id_60c5d6bf5659ea5e55defe5b,5.107372549686839e-18
_id_60c5d6bf5659ea5e55defe5f,4.963492831715845e-18
_id_60c5d6bf5659ea5e55defe69,4.961147274383411e-18
_id_60c5d6bf5659ea5e55defe55,4.811163235893845e-18
_id_60c5d6bf5659ea5e55defe3e,4.694251483899459e-18
_id_60c5d6bf5659ea5e55defe73,4.651657571472876e-18
_id_60c5d6bf5659ea5e55defebf,4.462818046559175e-18
_id_60c5d6bf5659ea5e55defe2d,4.454608684292638e-18
_id_60c5d6bf5659ea5e55defe35,4.423756125008362e-18
_id_60c5d6bf5659ea5e55defe67,4.370082315125561e-18
_id_60c5d6bf5659ea5e55defebd,4.298065287576523e-18
_id_60c5d6bf5659ea5e55defe42,4.251800011762076e-18
_id_60c5d6bf5659ea5e55defe49,4.247471519053707e-18
_id_60c5d6bf5659ea5e55defe4e,4.215891162986309e-18
_id_60c5d6bf5659ea5e55defebc,4.112063279238436e-18
_id_60c5d6bf5659ea5e55defea7,4.088018320946807e-18
_id_60c5d6bf5659ea5e55defe3f,4.0830861521072994e-18
_id_60c5d6bf5659ea5e55defe9a,3.956119221521499e-18
_id_60c5d6bf5659ea5e55defe84,3.9516935598297444e-18
_id_60c5d6bf5659ea5e55defdc3,3.9166550119621086e-18
_id_60c5d6bf5659ea5e55defe96,3.894353732414953e-18
_id_60c5d6bf5659ea5e55defe34,3.869331425751159e-18
_id_60c5d6bf5659ea5e55defe93,3.849689209899877e-18
_id_60c5d6bf5659ea5e55defe2e,3.81630951558245e-18
_id_60c5d6bf5659ea5e55defdbe,3.7737090500643744e-18
_id_60c5d6bf5659ea5e55defe68,3.626242687708684e-18
_id_60c5d6bf5659ea5e55defe3a,3.555290243110846e-18
_id_60c5d6bf5659ea5e55defea0,3.351237672398946e-18
_id_60c5d6bf5659ea5e55defe78,3.3412656672269424e-18
_id_60c5d6bf5659ea5e55defe29,3.2866907437571357e-18
_id_60c5d6bf5659ea5e55defe83,3.2602072060141487e-18
_id_60c5d6bf5659ea5e55defe8a,3.2206637456718947e-18
_id_60c5d6bf5659ea5e55defe7c,3.137415003437903e-18
_id_60c5d6bf5659ea5e55defe7d,3.115169384516783e-18
_id_60c5d6bf5659ea5e55defe88,3.046814165156378e-18
_id_60c5d6bf5659ea5e55defdb8,3.0239575120650723e-18
_id_60c5d6bf5659ea5e55defe89,3.0102568427318994e-18
_id_60c5d6bf5659ea5e55defdb6,2.9962472830952695e-18
_id_60c5d6bf5659ea5e55defe97,2.946454997673582e-18
_id_60c5d6bf5659ea5e55defeaf,2.9281868514983245e-18
_id_60c5d6bf5659ea5e55defe7f,2.8773893409883797e-18
_id_60c5d6bf5659ea5e55defe94,2.825430029511185e-18
_id_60c5d6bf5659ea5e55defeb9,2.7893679177152384e-18
_id_60c5d6bf5659ea5e55def0f2,2.7783346812609657e-18
_id_60c5d6bf5659ea5e55defe3c,2.7571834755807674e-18
_id_60c5d6bf5659ea5e55defe8f,2.729909200948756e-18
_id_60c5d6bf5659ea5e55defeb2,2.6967246981794293e-18
_id_60c5d6bf5659ea5e55defe6e,2.5833949547720176e-18
_id_60c5d6bf5659ea5e55defea2,2.5770838119466586e-18
_id_60c5d6bf5659ea5e55defe39,2.54393508606611e-18
